S No,Release Date,Movie Name,Release Date (N / LW / Festive),Genre - Defined,Budget,Box Office Collection,Youtube Views,Youtube Likes,Youtube Dislikes
98,5-Jul-13,Lootera,N,Romance,27,28.00,2581449,4416,819
99,18-Jul-14,Pizza 3D,N,Thriller,10,4.35,838943,1116,153
100,16-May-14,The Xpose,HS,Thriller,16,29.00,3707889,3512,1292
101,5-Jul-13,Policegiri,N,Action,30,16.80,1754266,1674,420
102,12-Jul-13,Bhaag Milkha Bhaag,N, Drama ,30,164.00,2635390,4622,456
103,25-Apr-14,Kaanchi,N, Drama ,31,4.00,2360968,2807,595
104,25-Apr-14,Samrat and Co.,N,Thriller,18,2.00,371133,532,180
105,12-Jul-13,B.A. Pass,N, Drama ,2,5.90,2240961,842,348
106,19-Jul-13,Ramaiya Vastavaiya,N,Romance,35,30.00,3788488,4111,687
107,14-Mar-14,Bewakoofiyan,FS,Romance,22,14.00,2850376,4764,1068
108,19-Jul-13,D Day,N,Action,30,24.00,1939868,1804,224
109,21-Feb-14,Darr@ The Mall,N,Thriller,15,4.50,1679872,255,51
110,26-Jul-13,Issaq,N,Romance,10,5.00,68511,76,16
111,7-Feb-14,Hasee To Phansee,N,Romance,27,35.50,2543707,6390,975
112,26-Jul-13,Bajatey Raho,N,Comedy,5,10.00,462722,513,77
113,3-Jan-14,Mr Joe B Carvalho,N,Comedy,15,4.00,268289,139,40
114,26-Jul-13,Nasha,N,Thriller,4,8.00,613448,288,188
115,11-Apr-14,Bhootnath Returns,LW,Thriller,29,53.00,3049275,10759,657
116,9-Aug-13,Chennai Express,FS,Comedy,75,395.00,1882346,7954,1593
117,15-Aug-13,Once Upon Ay Time In Mumbai Dobaara!,FS,Thriller,100,80.00,3077135,9200,2821
118,23-Aug-13,Madras Cafe,N,Thriller,35,42.70,1709945,2974,594
119,30-Aug-13,Satyagraha,N, Drama ,50,60.00,1422568,2736,394
120,1-Nov-13,Krrish 3,FS,Action,115,300.00,23171067,72070,11888
121,7-Mar-14,Total Siyappa,N, Drama ,10,12.00,1719399,3656,548
122,8-Nov-13,Satya 2,FS,Thriller,15,1.10,110315,89,26
123,15-Nov-13,Rajjo,FS,Romance,12,2.00,1718619,1606,1083
124,22-Nov-13,Gori Tere Pyaar Mein,N,Romance,30,12.65,3799253,8559,1871
125,29-Nov-13,Bullett Raja,N,Comedy,50,40.00,4015674,8084,2129
126,11-Oct-13,War Chhod Na Yaar,FS,Comedy,14,7.50,40450,33,7
127,11-Oct-13,Baat Ban Gayi,FS,Comedy,4,1.50,23186,9,4
128,16-Oct-13,Boss,FS, Drama ,50,45.00,6464704,22977,3396
129,18-Oct-13,Shahid,FS, Drama ,6,40.00,1148516,3155,396
130,25-Oct-13,Mickey Virus,N,Comedy,11,6.00,335807,574,129
131,6-Sep-13,Zanjeer,LW,Action,75,18.20,2539431,5634,922
132,6-Sep-13,Shuddh Desi Romance,LW,Romance,25,55.00,5142,1,1
133,13-Sep-13,Grand Masti,LW,Comedy,35,298.00,1795640,3015,721
134,16-May-14,Children Of War,HS, Drama ,12,22.00,577569,1640,156
135,20-Sep-13,Phata Poster Nikla Hero,N, Drama ,40,34.00,5176897,10672,1392
136,20-Sep-13,The Lunchbox,N, Drama ,10,85.00,1064854,4054,285
137,9-Jan-15,Tevar,N,Action,40,56.00,6132407,11241,1729
138,16-Jan-15,Alone,N,Thriller,18,25.00,8788913,18907,2940
139,23-Jan-15,Baby,N,Action,60,125.00,7968156,29246,2426
140,30-Jan-15,Hawaizaada,N, Drama ,25,30.25,2368404,8619,539
141,30-Jan-15,Khamoshiyan,N,Thriller,11,14.02,3094001,4599,997
142,6-Feb-15,Shamitabh,N, Drama ,40,38.00,2105508,5599,677
143,13-Feb-15,Roy,FS,Romance,40,58.00,7687797,18974,3229
144,20-Feb-15,Badlapur,FS,Action,23,77.00,4550051,10602,893
145,27-Feb-15,Dum Laga Ke Haisha,N,Comedy,15,30.00,3250917,8185,615
146,13-Mar-15,NH10,N,Thriller,13,32.10,5592977,15464,1513
147,20-Mar-15,Dilliwali Zaalim Girlfriend,N,Comedy,32,12.00,2316047,4289,807
148,20-Mar-15,Hunterrr,N,Comedy,5,11.89,4674795,3706,762
149,23-May-14,Kochadaiiyaan,HS,Action,150,120.00,4740727,13466,2649
