-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2018 through 12/31/2018 
Location: Latitude  12.8896   Longitude 74.9362 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 79.56 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_LW_DWN SRB/FLASHFlux 1/2x1/2 Downward Thermal Infrared (Longwave) Radiative Flux (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_LW_DWN
12.88961,74.93621,2018,04,21,             10.54
12.88961,74.93621,2018,04,22,             10.63
12.88961,74.93621,2018,04,23,             10.70
12.88961,74.93621,2018,04,24,             10.40
12.88961,74.93621,2018,04,25,             10.30
12.88961,74.93621,2018,04,26,              9.93
12.88961,74.93621,2018,04,27,             10.12
12.88961,74.93621,2018,04,28,             10.37
12.88961,74.93621,2018,04,29,             10.22
12.88961,74.93621,2018,04,30,             10.51
12.88961,74.93621,2018,05,01,             10.59
12.88961,74.93621,2018,05,02,             10.38
12.88961,74.93621,2018,05,03,             10.44
12.88961,74.93621,2018,05,04,             10.69
12.88961,74.93621,2018,05,05,             10.51
12.88961,74.93621,2018,05,06,             10.69
12.88961,74.93621,2018,05,07,             10.60
12.88961,74.93621,2018,05,08,             10.89
12.88961,74.93621,2018,05,09,             11.04
12.88961,74.93621,2018,05,10,             10.87
12.88961,74.93621,2018,05,11,             10.88
12.88961,74.93621,2018,05,12,             10.65
12.88961,74.93621,2018,05,13,             10.78
12.88961,74.93621,2018,05,14,             10.80
12.88961,74.93621,2018,05,15,             10.64
12.88961,74.93621,2018,05,16,             10.72
12.88961,74.93621,2018,05,17,             10.69
12.88961,74.93621,2018,05,18,             10.73
12.88961,74.93621,2018,05,19,             10.65
12.88961,74.93621,2018,05,20,             10.88
12.88961,74.93621,2018,05,21,             10.54
12.88961,74.93621,2018,05,22,             10.62
12.88961,74.93621,2018,05,23,             10.69
12.88961,74.93621,2018,05,24,             10.74
12.88961,74.93621,2018,05,25,             10.89
12.88961,74.93621,2018,05,26,             11.09
12.88961,74.93621,2018,05,27,             11.52
12.88961,74.93621,2018,05,28,             11.21
12.88961,74.93621,2018,05,29,             11.01
12.88961,74.93621,2018,05,30,             11.10
12.88961,74.93621,2018,05,31,             10.91
12.88961,74.93621,2018,06,01,             10.92
12.88961,74.93621,2018,06,02,             10.87
12.88961,74.93621,2018,06,03,             10.89
12.88961,74.93621,2018,06,04,             10.98
12.88961,74.93621,2018,06,05,             10.84
12.88961,74.93621,2018,06,06,             10.78
12.88961,74.93621,2018,06,07,             11.02
12.88961,74.93621,2018,06,08,             11.19
12.88961,74.93621,2018,06,09,             10.86
12.88961,74.93621,2018,06,10,             10.70
12.88961,74.93621,2018,06,11,             10.50
12.88961,74.93621,2018,06,12,             10.50
12.88961,74.93621,2018,06,13,             10.57
12.88961,74.93621,2018,06,14,             10.83
12.88961,74.93621,2018,06,15,             10.80
12.88961,74.93621,2018,06,16,             10.65
12.88961,74.93621,2018,06,17,             10.53
12.88961,74.93621,2018,06,18,             10.39
12.88961,74.93621,2018,06,19,             10.58
12.88961,74.93621,2018,06,20,             10.94
12.88961,74.93621,2018,06,21,             10.84
12.88961,74.93621,2018,06,22,             10.63
12.88961,74.93621,2018,06,23,             10.64
12.88961,74.93621,2018,06,24,             10.62
12.88961,74.93621,2018,06,25,             10.66
12.88961,74.93621,2018,06,26,             10.59
12.88961,74.93621,2018,06,27,             10.52
12.88961,74.93621,2018,06,28,             10.83
12.88961,74.93621,2018,06,29,             10.62
12.88961,74.93621,2018,06,30,             10.55
12.88961,74.93621,2018,07,01,             10.52
12.88961,74.93621,2018,07,02,             10.66
12.88961,74.93621,2018,07,03,             10.60
12.88961,74.93621,2018,07,04,             10.15
12.88961,74.93621,2018,07,05,             10.10
12.88961,74.93621,2018,07,06,             10.63
12.88961,74.93621,2018,07,07,             10.81
12.88961,74.93621,2018,07,08,             10.55
12.88961,74.93621,2018,07,09,             10.72
12.88961,74.93621,2018,07,10,             10.83
12.88961,74.93621,2018,07,11,             10.64
12.88961,74.93621,2018,07,12,             10.40
12.88961,74.93621,2018,07,13,             10.53
12.88961,74.93621,2018,07,14,             10.46
12.88961,74.93621,2018,07,15,             10.58
12.88961,74.93621,2018,07,16,             10.71
12.88961,74.93621,2018,07,17,             10.60
12.88961,74.93621,2018,07,18,             10.64
12.88961,74.93621,2018,07,19,             10.65
12.88961,74.93621,2018,07,20,             10.65
12.88961,74.93621,2018,07,21,             10.52
12.88961,74.93621,2018,07,22,             10.23
12.88961,74.93621,2018,07,23,             10.58
12.88961,74.93621,2018,07,24,             10.46
12.88961,74.93621,2018,07,25,             10.67
12.88961,74.93621,2018,07,26,             10.32
12.88961,74.93621,2018,07,27,             10.32
12.88961,74.93621,2018,07,28,             10.52
12.88961,74.93621,2018,07,29,             10.45
12.88961,74.93621,2018,07,30,             10.57
12.88961,74.93621,2018,07,31,             10.38
12.88961,74.93621,2018,08,01,             10.32
12.88961,74.93621,2018,08,02,             10.37
12.88961,74.93621,2018,08,03,             10.47
12.88961,74.93621,2018,08,04,             10.22
12.88961,74.93621,2018,08,05,             10.21
12.88961,74.93621,2018,08,06,             10.16
12.88961,74.93621,2018,08,07,             10.41
12.88961,74.93621,2018,08,08,             10.39
12.88961,74.93621,2018,08,09,             10.23
12.88961,74.93621,2018,08,10,             10.36
12.88961,74.93621,2018,08,11,             10.47
12.88961,74.93621,2018,08,12,             10.72
12.88961,74.93621,2018,08,13,             10.49
12.88961,74.93621,2018,08,14,             10.81
