0,2,4,6,8,10,12,14,16,18,20,22,,,,,,
0,0,0,13.3775478,26.7550956,53.5101912,80.2652868,53.5101912,26.7550956,13.3775478,0,0,,,,,,
0,0,0,13.34877888,26.69755776,53.39511552,80.09267328,53.39511552,26.69755776,13.34877888,0,0,,,,,,
0,0,0,12.75901602,25.51803204,51.03606408,76.55409612,51.03606408,25.51803204,12.75901602,0,0,,,,,,
0,0,0,12.61517142,25.23034284,50.46068568,75.69102852,50.46068568,25.23034284,12.61517142,0,0,,,,,,
0,0,0,13.29124104,26.58248208,53.16496416,79.74744624,53.16496416,26.58248208,13.29124104,0,0,,,,,,
0,0,0,13.79469714,27.58939428,55.17878856,82.76818284,55.17878856,27.58939428,13.79469714,0,0,,,,,,
0,0,0,13.60769916,27.21539832,54.43079664,81.64619496,54.43079664,27.21539832,13.60769916,0,0,,,,,,
0,0,0,13.06108968,26.12217936,52.24435872,78.36653808,52.24435872,26.12217936,13.06108968,0,0,,,,,,
0,0,0,13.13301198,26.26602396,52.53204792,78.79807188,52.53204792,26.26602396,13.13301198,0,0,,,,,,
0,0,0,13.07547414,26.15094828,52.30189656,78.45284484,52.30189656,26.15094828,13.07547414,0,0,,,ALL VALUES ARE IN kWh,,,
0,0,0,11.60825922,23.21651844,46.43303688,69.64955532,46.43303688,23.21651844,11.60825922,0,0,,,,,,
0,0,0,11.83841058,23.67682116,47.35364232,71.03046348,47.35364232,23.67682116,11.83841058,0,0,,,,,,
0,0,0,12.03979302,24.07958604,48.15917208,72.23875812,48.15917208,24.07958604,12.03979302,0,0,,,,,,
0,0,0,12.28432884,24.56865768,49.13731536,73.70597304,49.13731536,24.56865768,12.28432884,0,0,,,,,,
0,0,0,12.6583248,25.3166496,50.6332992,75.9499488,50.6332992,25.3166496,12.6583248,0,0,,,,,,
0,0,0,13.0179363,26.0358726,52.0717452,78.1076178,52.0717452,26.0358726,13.0179363,0,0,,,,,,
